Bernabei Code;Name;Current Price;Ordinary Price;Lowest Price 30 Days;Tags;Category;Last Checked;Link;Image URL
1214;Vernaccia Di Oristano Riserva Silvio Carta 2008;18,8;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:35.609545;https://www.bernabei.it/vernaccia-di-oristano-doc-riserva-2008-silvio-carta;https://www.bernabei.it/ARTICOLI200/S_244.png
1830;Brunello Di Montalcino Col d'Orcia 2020;38,0;;33,0;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:34.643201;https://www.bernabei.it/brunello-di-montalcino-col-d-orcia-2020;https://www.bernabei.it/ARTICOLI200/S_1005.png
1777;Valpolicella Bertani 2024;11,6;;9,1;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:35.654435;https://www.bernabei.it/valpolicella-bertani;https://www.bernabei.it/ARTICOLI200/S_942.png
20204;Grechetto Di Todi Todini 2024;6,8;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:35.683298;https://www.bernabei.it/grechetto-di-todi-todini;https://www.bernabei.it/ARTICOLI200/S_12743.png
5299;Etna Bianco Piano Dei Daini Tenute Bosco 2024;21,8;;;Vini Biologici,BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:35.740994;https://www.bernabei.it/etna-bianco-piano-dei-daini-tenute-bosco-2023;https://www.bernabei.it/ARTICOLI200/S_4270.png
7094;Santa Cristina Umbria Bianco Antinori 2024;7,4;;6,9;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:35.764367;https://www.bernabei.it/santa-cristina-umbria-bianco-antinori-2024;https://www.bernabei.it/ARTICOLI200/S_6090.png
1271910598650561770590634;Barbera D'Alba Superiore Giacomo Fenocchio 2023;16,4;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-08 22:44:19.057190;https://www.bernabei.it/barbera-d-alba-doc-superiore-giacomo-fenocchio;https://www.bernabei.it/ARTICOLI200/S_8219.png
793615298683281770590634;Brunello Di Montalcino Poggio Alle Mura Banfi 2019;50,0;;44,0;Spedizione gratuita,Premiato,POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-08 22:44:19.064515;https://www.bernabei.it/brunello-di-montalcino-docg-poggio-alle-mura-2018-castello-banfi;https://www.bernabei.it/ARTICOLI200/S_426.png
1348611109163241770590634;Friulano Toros 2024;20,3;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-08 22:44:19.072487;https://www.bernabei.it/collio-doc-friulano-toros;https://www.bernabei.it/ARTICOLI200/S_8805.png
967614354107241770590634;Amarone Classico Bertani 2016 (Cassetta in Legno);110,0;;;Spedizione gratuita,Premiato,BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-08 22:44:19.081521;https://www.bernabei.it/amarone-della-valpolicella-classico-doc-bertani-cassetta-in-legno;https://www.bernabei.it/ARTICOLI200/S_6141.png
9835;Mezza Bottiglia Vinsanto Del Chianti Castelli Del Grevepesa 2020 375ml;11,9;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:35.964156;https://www.bernabei.it/vinsanto-del-chianti-classico-doc-castelli-del-grevepesa-375ml;https://www.bernabei.it/ARTICOLI200/S_6053.png
13074;Brunello Di Montalcino San Polo 2017;65,0;;;Spedizione gratuita,Premiato,BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:36.016158;https://www.bernabei.it/brunello-di-montalcino-docg-san-polo;https://www.bernabei.it/ARTICOLI200/S_8481.png
19907;Barolo Del Comune Di La Morra Dosio 2020;30,9;;20,9;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:36.042345;https://www.bernabei.it/barolo-del-comune-di-la-morra-dosio;https://www.bernabei.it/ARTICOLI200/S_12518.png
19905;Bolgheri Rosso Villa Donoratico Tenuta Argentiera 2022;31,0;;29,5;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:36.093016;https://www.bernabei.it/bolgheri-rosso-villa-donoratico-tenuta-argentiera;https://www.bernabei.it/ARTICOLI200/S_12516.png
12798;Pecorino Machaon Ausonia 2022;13,5;;;Vini Biologici,BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:36.125837;https://www.bernabei.it/abruzzo-pecorino-dop-machaon-ausonia;https://www.bernabei.it/ARTICOLI200/S_8267.png
12697;Labianca Lunae 2023;9,2;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:36.150104;https://www.bernabei.it/labianca-lunae;https://www.bernabei.it/ARTICOLI200/S_8199.png
19453;Luce Della Vite Frescobaldi 2022;104,0;;;Top Selection,Spedizione gratuita,Premiato,BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:35.713323;https://www.bernabei.it/luce-della-vite-2022-frescobaldi;https://www.bernabei.it/ARTICOLI200/S_12235.png
12513;Antigal Uno Malbec 2023;19,8;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:36.214070;https://www.bernabei.it/antigal-uno-malbec;https://www.bernabei.it/ARTICOLI200/S_8043.png
2231;Aglianico Bella Femmena Rosé Telaro 2024;9,8;;8,5;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:33.530145;https://www.bernabei.it/aglianico-bella-femmena-rose-telaro-2024;https://www.bernabei.it/ARTICOLI200/S_2569.png
19133;Nasco di Cagliari Iselis Argiolas 2024;15,8;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:35.792294;https://www.bernabei.it/nasco-di-cagliari-doc-iselis-bianco-argiolas;https://www.bernabei.it/ARTICOLI200/S_11832.png
133417399745481770590636;Passito Di Pantelleria Bukkuram Sole D'Agosto Marco De Bartoli 2022;59,0;;;Spedizione gratuita,Premiato,BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-08 22:44:19.204414;https://www.bernabei.it/passito-di-pantelleria-doc-bukkuram-sole-d-agosto-marco-de-bartoli;https://www.bernabei.it/ARTICOLI200/S_8709.png
18727;Perricone Cantine Fina 2024;11,5;;10,9;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-08 22:44:19.212454;https://www.bernabei.it/perricone-cantine-fina;https://www.bernabei.it/ARTICOLI200/S_11653.png
1270;Benuara Cusumano 2021;13,9;;12,8;Premiato,POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-08 22:44:19.218620;https://www.bernabei.it/sicilia-doc-benuara-cusumano;https://www.bernabei.it/ARTICOLI200/S_306.png
2042;Porto Sandeman White 75cl;11,2;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-08 22:44:19.228304;https://www.bernabei.it/porto-sandeman-white-75cl;https://www.bernabei.it/ARTICOLI200/S_2670.png
12319;Primitivo Onirico Terre Dei Vaaz 2018;21,0;;;Premiato,BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-08 22:44:19.237235;https://www.bernabei.it/primitivo-onirico-terre-dei-vaaz-astucciato;https://www.bernabei.it/ARTICOLI200/S_7877.png
16990;Frascati Superiore Vigna Ferri Rossi di Medelana 2021;10,5;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-08 22:44:19.243538;https://www.bernabei.it/frascati-superiore-docg-vigna-ferri-rossi-di-medelana;https://www.bernabei.it/ARTICOLI200/S_10517.png
6867;Valpolicella Ripasso Le Poiane Bolla 2020;12,9;;11,5;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:35.991912;https://www.bernabei.it/valpolicella-ripasso-le-poiane-bolla;https://www.bernabei.it/ARTICOLI200/S_6260.png
1125;Sancerre Comte Lafond Baron De Ladoucette 2023;33,0;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:36.389111;https://www.bernabei.it/sancerre-comte-lafond-baron-de-ladoucette-2023;https://www.bernabei.it/ARTICOLI200/S_4050.png
8286;Syrah Butirah Principi Di Butera 2022;10,8;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:36.067605;https://www.bernabei.it/sicilia-doc-syrah-principi-di-butera;https://www.bernabei.it/ARTICOLI200/S_6336.png
16745;Negroamaro Salento Norie Vigneti Reale 2022;7,9;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:36.415695;https://www.bernabei.it/negroamaro-del-salento-norie-vigneti-reale;https://www.bernabei.it/ARTICOLI200/S_9940.png
16991;Malvasia Puntinata Rossi di Medelana 2021;10,5;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:36.440184;https://www.bernabei.it/malvasia-puntinata-rossi-di-medelana;https://www.bernabei.it/ARTICOLI200/S_10518.png
13549;Pinot Nero La Tunella 2023;15,5;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-08 22:44:19.293615;https://www.bernabei.it/colli-orientali-del-friuli-doc-pinot-nero-la-tunella;https://www.bernabei.it/ARTICOLI200/S_8844.png
19385;Chardonnay Bio Cantina Toblino 2023;10,9;;8,9;Vini Biologici,POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-08 22:44:19.301147;https://www.bernabei.it/trentino-doc-chardonnay-bio-cantina-toblino;https://www.bernabei.it/ARTICOLI200/S_12166.png
101159839377281770619700;Nero Di Troia Passera Scopaiola Masseria Spaccafico 2024;9,2;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-09 06:50:10.281354;https://www.bernabei.it/nero-di-troia-passera-scopaiola-masseria-spaccafico;https://www.bernabei.it/ARTICOLI200/S_6274.png
19382452544441770619700;Pinot Grigio LeBoem 2024;9,3;;5,5;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:10.330997;https://www.bernabei.it/pinot-grigio-boem-2024;https://www.bernabei.it/ARTICOLI200/S_2081.png
53681081838641770619700;Nebbiolo Della Marmora 2024;7,0;12,9;;BEST PRICE,BEST PRICE,Special Price,È il prezzo più basso in 30 gg,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:10.641737;https://www.bernabei.it/nebbiolo-della-marmora;https://www.bernabei.it/ARTICOLI200/S_4341.png
13407547443881770619703;Montepulciano D'Abruzzo Biologico Cantina Tollo 2023;6,5;;5,9;Vini Biologici,POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:11.113456;https://www.bernabei.it/montepulciano-d-abruzzo-biologico-cantina-tollo;https://www.bernabei.it/ARTICOLI200/S_385.png
1029621135891791770619703;Sagrantino Di Montefalco Cióppica Lu Cioppu 2016;14,9;19,8;9,9;POPULAR,POPULAR,Special Price,Prezzo più basso:,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:11.140957;https://www.bernabei.it/sagrantino-di-montefalco-docg-cioppica-lu-cioppu;https://www.bernabei.it/ARTICOLI200/S_6419.png
48835556399071770619703;Valpolicella Ripasso Bertani 2023;13,8;;9,9;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:11.249330;https://www.bernabei.it/valpolicella-ripasso-bertani;https://www.bernabei.it/ARTICOLI200/S_3857.png
48913638462001770619703;Lambrusco Otello Nero Ceci;7,5;8,5;7,2;Premiato,POPULAR,POPULAR,Special Price,Prezzo più basso:,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:11.271020;https://www.bernabei.it/lambrusco-otello-nero-ceci;https://www.bernabei.it/ARTICOLI200/S_3865.png
1279410132223551770619708;Barbaresco Produttori Del Barbaresco 2022;26,8;;22,0;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:12.427522;https://www.bernabei.it/barbaresco-docg-produttori-del-barbaresco;https://www.bernabei.it/ARTICOLI200/S_8260.png
179067694076751770619709;Magnum Nero Di Troia Passera Scopaiola Masseria Spaccafico 2023 (Astucciato);15,0;22,8;;BEST PRICE,BEST PRICE,Special Price,È il prezzo più basso in 30 gg,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:12.752411;https://www.bernabei.it/nero-di-troia-passera-scopaiola-masseria-spaccafico-magnum;https://www.bernabei.it/ARTICOLI200/S_10959.png
1671516230133171770619710;Chardonnay Elena Walch 2024;12,3;;11,5;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:12.900270;https://www.bernabei.it/alto-adige-doc-chardonnay-elena-walch;https://www.bernabei.it/ARTICOLI200/S_9918.png
16127345966351770619710;Gewürztraminer St. Michael Eppan 2024;13,6;;12,5;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:13.000212;https://www.bernabei.it/gewurztraminer-st-michael-eppan-2024;https://www.bernabei.it/ARTICOLI200/S_733.png
141818312365151770619711;Pinot Nero Abbazia Di Novacella 2024;14,5;;12,2;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:13.200608;https://www.bernabei.it/pinot-nero-abbazia-di-novacella-2024;https://www.bernabei.it/ARTICOLI200/S_483.png
19333798408651770619712;Primitivo Balia Nera Masseria Spaccafico 2022;8,6;;6,2;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:13.311752;https://www.bernabei.it/primitivo-balia-nera-masseria-spaccafico-2022;https://www.bernabei.it/ARTICOLI200/S_2061.png
178719353050581770619712;Amarone Valpantena Bertani 2022;29,0;35,0;28,1;POPULAR,POPULAR,Special Price,Prezzo più basso:,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:13.363507;https://www.bernabei.it/amarone-valpantena-bertani;https://www.bernabei.it/ARTICOLI200/S_957.png
192222132759181770619712;Cabernet Sauvignon Domaine de La Santoline 2024;10,8;;7,0;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:13.513239;https://www.bernabei.it/cabernet-sauvignon-domaine-de-la-santoline;https://www.bernabei.it/ARTICOLI200/S_11884.png
946614143656821770619712;Pinot Nero Patricia Girlan 2023;15,7;;12,9;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:13.697174;https://www.bernabei.it/alto-adige-doc-pinot-nero-patricia-girlan;https://www.bernabei.it/ARTICOLI200/S_6153.png
5367;Barbaresco Della Marmora 2021;15,3;25,6;13,0;POPULAR,POPULAR,Special Price,Prezzo più basso:,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:13.840560;https://www.bernabei.it/barbaresco-della-marmora;https://www.bernabei.it/ARTICOLI200/S_4340.png
95114503136871770619714;Lagrein Cantina Tramin 2024;12,5;;11,4;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:13.890735;https://www.bernabei.it/alto-adige-doc-lagrein-tramin;https://www.bernabei.it/ARTICOLI200/S_6081.png
69484623662311770619714;Montepulciano D'Abruzzo Malandrino Cataldi Madonna 2024;9,9;10,9;;Vini Biologici,BEST PRICE,BEST PRICE,Special Price,È il prezzo più basso in 30 gg,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:13.940921;https://www.bernabei.it/montepulciano-d-abruzzo-malandrino-cataldi-madonna;https://www.bernabei.it/ARTICOLI200/S_4713.png
106931226129771770619714;Barbera D'Asti Camp Du Rouss Coppo 2023;13,9;16,5;12,9;POPULAR,POPULAR,Special Price,Prezzo più basso:,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:14.140626;https://www.bernabei.it/barbera-d-asti-docg-camp-du-rouss-coppo;https://www.bernabei.it/ARTICOLI200/S_6716.png
204016851232471770619716;Moscato D'Asti Sciandor Banfi 2025;9,9;;8,5;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-09 06:50:14.604117;https://www.bernabei.it/moscato-d-asti-docg-sciandor-banfi;https://www.bernabei.it/ARTICOLI200/S_2668.png
